Order_ID,Customer_Name,Category,Region,Sales,Quantity,Profit,GST,Discounted_Sales,Profit_Margin
US-2017-100930,Christopher Schild,Furniture,South,620.6145,3,-248.2458,111.71,558.55,-40.0
US-2017-100930,Christopher Schild,Technology,South,617.976,3,-7.7247,111.24,556.18,-1.25
CA-2014-131926,Dianna Wilson,Furniture,Central,2001.86,7,580.5394,360.33,1801.67,29.0
CA-2014-131926,Dianna Wilson,Office Supplies,Central,1503.25,5,496.0725,270.59,1352.93,33.0
CA-2016-145625,Kelly Collister,Technology,West,3347.37,13,636.0003,602.53,3012.63,19.0
US-2015-159982,Dan Reichenbach,Technology,Central,647.904,6,56.6916,116.62,583.11,8.75
US-2014-106992,Sean Braxton,Technology,Central,3059.982,3,-509.997,550.8,2753.98,-16.67
US-2014-106992,Sean Braxton,Technology,Central,2519.958,7,-251.9958,453.59,2267.96,-10.0
CA-2017-163979,Kristen Hastings,Office Supplies,West,725.84,4,210.4936,130.65,653.26,29.0
US-2015-161991,Steven Cartwright,Technology,Central,1114.4,7,376.11,200.59,1002.96,33.75
CA-2015-130890,Jas O'Carroll,Furniture,West,1038.84,5,51.942,186.99,934.96,5.0
CA-2016-112697,Alan Haines,Office Supplies,South,961.48,5,-204.3145,173.07,865.33,-21.25
CA-2014-164973,Nathan Mautz,Technology,East,3991.98,2,1995.99,718.56,3592.78,50.0
US-2016-141544,Patrick O'Brill,Furniture,East,786.744,4,-258.5016,141.61,708.07,-32.86
CA-2015-137946,Doug Bickford,Technology,West,959.984,2,335.9944,172.8,863.99,35.0
CA-2014-129924,Alyssa Crouse,Furniture,West,698.352,3,-17.4588,125.7,628.52,-2.5
CA-2014-122336,Jonathan Doherty,Office Supplies,East,509.97,10,-407.976,91.79,458.97,-80.0
CA-2016-129714,Adam Bellavance,Office Supplies,East,4355.168,4,1415.4296,783.93,3919.65,32.5
CA-2017-155698,Victoria Brennan,Office Supplies,South,647.84,8,168.4384,116.61,583.06,26.0
CA-2016-155516,Michael Kennedy,Furniture,East,1043.92,4,271.4192,187.91,939.53,26.0
US-2014-119137,Arthur Gainer,Technology,West,1023.936,8,179.1888,184.31,921.54,17.5
US-2017-134481,Allen Rosenblatt,Furniture,East,1488.424,7,-297.6848,267.92,1339.58,-20.0
US-2014-135972,Jack Garza,Technology,West,1799.97,3,701.9883,323.99,1619.97,39.0
CA-2016-108987,Anna Gayman,Furniture,Central,2396.2656,4,-317.1528,431.33,2156.64,-13.24
CA-2017-117457,Keith Herrera,Technology,West,1199.976,3,434.9913,216.0,1079.98,36.25
CA-2017-117457,Keith Herrera,Furniture,West,1004.024,7,-112.9527,180.72,903.62,-11.25
CA-2017-117457,Keith Herrera,Furniture,West,1336.829,13,31.4548,240.63,1203.15,2.35
CA-2017-155705,Natalie Fritzler,Furniture,South,866.4,4,225.264,155.95,779.76,26.0
CA-2016-127369,Dave Brooks,Office Supplies,East,714.3,5,207.147,128.57,642.87,29.0
CA-2016-147375,Philisse Overcash,Technology,Central,1007.979,3,43.1991,181.44,907.18,4.29
CA-2017-147277,Ed Braxton,Office Supplies,East,665.408,2,66.5408,119.77,598.87,10.0
US-2016-157945,Natalie Fritzler,Furniture,Central,747.558,3,-96.1146,134.56,672.8,-12.86
CA-2015-109638,Joseph Holt,Technology,West,899.91,9,377.9622,161.98,809.92,42.0
CA-2016-109869,Tanja Norvell,Furniture,West,1272.63,6,-814.4832,229.07,1145.37,-64.0
CA-2014-144666,Jeremy Pistek,Technology,West,703.968,4,87.996,126.71,633.57,12.5
CA-2016-100790,John Grady,Office Supplies,East,704.25,5,84.51,126.77,633.83,12.0
CA-2017-140963,Michelle Tran,Furniture,West,514.165,5,-30.245,92.55,462.75,-5.88
CA-2014-154627,Sue Ann Reed,Technology,Central,2735.952,6,341.994,492.47,2462.36,12.5
US-2016-105578,Maribeth Yedwab,Furniture,West,801.568,2,50.098,144.28,721.41,6.25
CA-2015-145352,Christopher Martinez,Office Supplies,South,6354.95,5,3177.475,1143.89,5719.46,50.0
CA-2017-127432,Alan Dominguez,Technology,West,2999.95,5,1379.977,539.99,2699.96,46.0
CA-2017-127432,Alan Dominguez,Office Supplies,West,1126.02,3,56.301,202.68,1013.42,5.0
CA-2017-113558,Patricia Hirasaki,Furniture,South,683.952,3,42.747,123.11,615.56,6.25
US-2015-138303,Mike Gockenbach,Office Supplies,East,666.248,1,-149.9058,119.92,599.62,-22.5
CA-2016-168753,Rob Lucas,Technology,South,979.95,5,274.386,176.39,881.96,28.0
US-2015-120161,Liz MacKendrick,Office Supplies,East,646.776,9,-145.5246,116.42,582.1,-22.5
CA-2016-136406,Bill Donatelli,Furniture,West,1121.568,2,0.0,201.88,1009.41,0.0
CA-2017-100650,Dean Katz,Office Supplies,West,1295.78,2,310.9872,233.24,1166.2,24.0
CA-2016-113243,Olvera Toch,Furniture,West,1335.68,4,-217.048,240.42,1202.11,-16.25
CA-2014-131450,Lena Radford,Technology,West,1199.976,3,434.9913,216.0,1079.98,36.25
CA-2016-121223,Giulietta Dortch,Technology,East,728.946,9,-157.9383,131.21,656.05,-21.67
CA-2015-138009,Sylvia Foulston,Office Supplies,Central,555.21,5,178.901,99.94,499.69,32.22
CA-2015-138009,Sylvia Foulston,Office Supplies,Central,523.48,4,130.87,94.23,471.13,25.0
CA-2016-115917,Rick Bensley,Furniture,West,1049.2,5,272.792,188.86,944.28,26.0
US-2016-156097,Eugene Hildebrand,Furniture,Central,701.372,2,-50.098,126.25,631.23,-7.14
CA-2015-146563,Cassandra Brandow,Office Supplies,Central,999.432,7,124.929,179.9,899.49,12.5
CA-2015-146563,Cassandra Brandow,Office Supplies,Central,724.08,14,-135.765,130.33,651.67,-18.75
CA-2015-146563,Cassandra Brandow,Furniture,Central,918.785,5,-118.1295,165.38,826.91,-12.86
US-2017-168116,Grant Thornton,Technology,South,7999.98,4,-3839.9904,1440.0,7199.98,-48.0
CA-2014-112158,David Philippe,Furniture,East,883.92,5,-110.49,159.11,795.53,-12.5
CA-2016-142335,Michael Paige,Furniture,Central,1652.94,3,231.4116,297.53,1487.65,14.0
US-2016-150861,Emily Grady,Furniture,East,542.646,3,102.4998,97.68,488.38,18.89
CA-2014-124429,Maya Herman,Furniture,West,567.12,10,-28.356,102.08,510.41,-5.0
CA-2016-110499,Yoseph Carroll,Technology,West,1199.976,3,374.9925,216.0,1079.98,31.25
CA-2014-162775,Chris Selesnick,Technology,South,646.74,6,258.696,116.41,582.07,40.0
CA-2014-162775,Chris Selesnick,Office Supplies,South,572.58,6,34.3548,103.06,515.32,6.0
CA-2016-157245,Laurel Elliston,Furniture,South,641.96,2,179.7488,115.55,577.76,28.0
CA-2015-144267,Nick Zandusky,Furniture,West,544.008,3,40.8006,97.92,489.61,7.5
CA-2016-105256,Joe Kamberova,Technology,South,1363.96,5,85.2475,245.51,1227.56,6.25
CA-2014-134313,Russell Applegate,Technology,West,1983.968,4,247.996,357.11,1785.57,12.5
CA-2014-151995,Zuschuss Carroll,Furniture,West,1298.55,5,311.652,233.74,1168.7,24.0
CA-2017-143686,Pauline Johnson,Technology,West,1399.93,7,601.9699,251.99,1259.94,43.0
CA-2014-140858,Cynthia Arntzen,Furniture,East,1228.465,5,0.0,221.12,1105.62,0.0
CA-2016-158099,Paul Knutson,Office Supplies,East,1141.47,5,-760.98,205.46,1027.32,-66.67
CA-2017-111689,Harold Pawlan,Furniture,East,1242.9,5,262.39,223.72,1118.61,21.11
CA-2017-133256,Tracy Hopkins,Technology,Central,543.92,8,135.98,97.91,489.53,25.0
CA-2017-137596,Bill Eplett,Technology,Central,1199.8,4,323.946,215.96,1079.82,27.0
CA-2017-137596,Bill Eplett,Technology,Central,1928.78,7,829.3754,347.18,1735.9,43.0
US-2014-141215,Kelly Lampkin,Furniture,Central,797.944,4,-56.996,143.63,718.15,-7.14
CA-2016-149797,Adam Hart,Office Supplies,East,841.568,2,294.5488,151.48,757.41,35.0
CA-2016-142958,Rob Williams,Furniture,West,1114.272,4,41.7852,200.57,1002.84,3.75
CA-2015-120880,John Lucas,Office Supplies,West,540.57,3,140.5482,97.3,486.51,26.0
US-2017-110576,Ross Baird,Furniture,East,516.488,7,-12.9122,92.97,464.84,-2.5
US-2017-110576,Ross Baird,Furniture,East,1007.232,6,75.5424,181.3,906.51,7.5
US-2017-110576,Ross Baird,Furniture,East,2065.32,12,-619.596,371.76,1858.79,-30.0
CA-2017-135279,Bryan Spruell,Office Supplies,East,501.81,3,0.0,90.33,451.63,0.0
CA-2017-159366,Bart Watters,Technology,Central,3059.982,2,679.996,550.8,2753.98,22.22
CA-2016-144939,Emily Burns,Furniture,East,599.292,6,93.2232,107.87,539.36,15.56
CA-2014-163419,Tracy Zic,Technology,West,559.984,2,55.9984,100.8,503.99,10.0
CA-2014-163419,Tracy Zic,Furniture,West,603.92,5,75.49,108.71,543.53,12.5
CA-2017-167899,John Grady,Furniture,East,520.05,5,72.807,93.61,468.04,14.0
CA-2015-153549,Sara Luxemburg,Furniture,South,1166.92,5,131.2785,210.05,1050.23,11.25
CA-2014-117639,Mitch Willingham,Office Supplies,South,2715.93,7,1276.4871,488.87,2444.34,47.0
CA-2014-117639,Mitch Willingham,Technology,South,617.97,3,173.0316,111.23,556.17,28.0
CA-2015-124891,Rick Hansen,Technology,East,2309.65,7,762.1845,415.74,2078.69,33.0
CA-2015-124891,Rick Hansen,Furniture,East,1090.782,7,-290.8752,196.34,981.7,-26.67
US-2015-126214,John Stevenson,Furniture,West,1618.37,13,356.0414,291.31,1456.53,22.0
CA-2015-108665,Kalyca Meade,Office Supplies,East,601.65,5,156.429,108.3,541.49,26.0
CA-2015-124450,Greg Tran,Furniture,East,1267.53,3,316.8825,228.16,1140.78,25.0
CA-2015-124450,Greg Tran,Technology,East,1379.92,8,648.5624,248.39,1241.93,47.0
CA-2014-163552,Laura Armstrong,Furniture,East,854.94,3,213.735,153.89,769.45,25.0
CA-2016-127670,Robert Dilbeck,Furniture,Central,697.16,4,146.4036,125.49,627.44,21.0
CA-2016-102981,Mary O'Rourke,Furniture,East,722.352,3,90.294,130.02,650.12,12.5
CA-2016-169103,Zuschuss Carroll,Technology,South,1363.96,5,85.2475,245.51,1227.56,6.25
CA-2014-139192,Lena Creighton,Technology,West,1113.504,12,125.2692,200.43,1002.15,11.25
CA-2015-110016,Bill Tyler,Furniture,Central,1106.91,9,121.7601,199.24,996.22,11.0
US-2016-143819,Karen Daniels,Furniture,East,836.592,8,-264.9208,150.59,752.93,-31.67
US-2016-143819,Karen Daniels,Technology,East,4899.93,7,2400.9657,881.99,4409.94,49.0
CA-2015-142755,Christine Sundaresam,Technology,South,619.95,5,111.591,111.59,557.96,18.0
US-2014-147627,Hunter Lopez,Technology,South,699.93,7,181.9818,125.99,629.94,26.0
US-2014-147627,Hunter Lopez,Furniture,South,1067.94,3,224.2674,192.23,961.15,21.0
CA-2014-146969,Arthur Prichep,Technology,West,686.32,2,223.054,123.54,617.69,32.5
CA-2015-112452,Nat Carroll,Office Supplies,Central,644.076,2,107.346,115.93,579.67,16.67
CA-2015-112452,Nat Carroll,Technology,Central,599.98,2,209.993,108.0,539.98,35.0
CA-2014-136567,Penelope Sewall,Furniture,South,2244.48,7,493.7856,404.01,2020.03,22.0
CA-2014-128146,Dave Brooks,Technology,East,1322.93,7,357.1911,238.13,1190.64,27.0
CA-2017-117212,Bradley Talbott,Technology,West,889.536,8,66.7152,160.12,800.58,7.5
CA-2017-117212,Bradley Talbott,Furniture,West,892.224,3,89.2224,160.6,803.0,10.0
CA-2016-130946,Zuschuss Carroll,Office Supplies,Central,1088.792,4,-1850.9464,195.98,979.91,-170.0
CA-2016-114727,Linda Southworth,Furniture,West,544.008,3,40.8006,97.92,489.61,7.5
CA-2016-114727,Linda Southworth,Furniture,West,854.352,3,10.6794,153.78,768.92,1.25
CA-2016-114727,Linda Southworth,Office Supplies,West,593.568,2,0.0,106.84,534.21,0.0
CA-2016-137050,Steven Ward,Furniture,East,579.136,4,21.7176,104.24,521.22,3.75
US-2017-118087,Stefania Perrino,Technology,East,1931.958,7,-386.3916,347.75,1738.76,-20.0
CA-2016-153682,Brooke Gillingham,Technology,East,839.988,2,69.999,151.2,755.99,8.33
CA-2014-168494,Nora Preis,Furniture,West,764.688,6,95.586,137.64,688.22,12.5
CA-2014-168494,Nora Preis,Furniture,West,3610.848,12,135.4068,649.95,3249.76,3.75
CA-2017-115602,Doug Jacobs,Furniture,East,1141.938,9,139.5702,205.55,1027.74,12.22
CA-2017-115602,Doug Jacobs,Office Supplies,East,1704.56,13,511.368,306.82,1534.1,30.0
CA-2015-154956,Irene Maddox,Technology,Central,1099.96,4,285.9896,197.99,989.96,26.0
US-2016-168620,Ross Baird,Office Supplies,South,540.048,3,-47.2542,97.21,486.04,-8.75
CA-2017-117079,Jocasta Rupert,Technology,South,863.88,3,107.985,155.5,777.49,12.5
CA-2015-138898,Justin Hirsh,Office Supplies,West,845.728,13,84.5728,152.23,761.16,10.0
CA-2016-137043,Logan Currie,Furniture,South,572.76,6,166.1004,103.1,515.48,29.0
CA-2016-145919,Henry Goldwyn,Office Supplies,West,579.3,5,28.965,104.27,521.37,5.0
CA-2014-160773,Laurel Workman,Technology,South,575.92,2,71.99,103.67,518.33,12.5
CA-2016-122133,Jim Radford,Office Supplies,East,552.56,4,0.0,99.46,497.3,0.0
CA-2017-100524,Chad McGuire,Technology,East,677.58,3,176.1708,121.96,609.82,26.0
CA-2017-113481,Aaron Smayling,Technology,South,695.7,2,-27.828,125.23,626.13,-4.0
US-2017-155425,Ann Blume,Furniture,West,899.136,4,-146.1096,161.84,809.22,-16.25
US-2015-103471,Jim Radford,Furniture,West,590.058,7,-786.744,106.21,531.05,-133.33
CA-2015-120362,Christina Anderson,Furniture,West,912.75,5,118.6575,164.3,821.48,13.0
CA-2014-126361,Valerie Dominguez,Office Supplies,West,1089.75,3,305.13,196.16,980.78,28.0
US-2017-117247,Cyma Kinney,Furniture,Central,652.45,5,-430.617,117.44,587.21,-66.0
CA-2015-126697,Stuart Van,Technology,Central,946.344,7,118.293,170.34,851.71,12.5
CA-2014-120768,Irene Maddox,Furniture,South,1819.86,14,163.7874,327.57,1637.87,9.0
CA-2015-139731,Joel Eaton,Furniture,Central,2453.43,5,-350.49,441.62,2208.09,-14.29
CA-2016-133725,Ken Lonsdale,Technology,Central,1979.928,9,148.4946,356.39,1781.94,7.5
CA-2016-133711,Mark Cousins,Technology,South,3040.0,8,1459.2,547.2,2736.0,48.0
CA-2016-152289,Linda Cazamias,Furniture,Central,1024.716,6,-29.2776,184.45,922.24,-2.86
CA-2017-139199,Damala Kotsonis,Furniture,Central,872.94,3,226.9644,157.13,785.65,26.0
CA-2015-140410,Corinna Mitchell,Technology,West,1212.848,7,106.1242,218.31,1091.56,8.75
CA-2017-166436,Todd Sumrall,Furniture,East,977.292,6,173.7408,175.91,879.56,17.78
CA-2017-130386,Nathan Gelder,Office Supplies,Central,540.048,3,-47.2542,97.21,486.04,-8.75
CA-2015-153388,Pauline Chand,Furniture,West,1004.976,6,-175.8708,180.9,904.48,-17.5
CA-2017-148446,Michael Chen,Furniture,West,1669.6,4,116.872,300.53,1502.64,7.0
CA-2017-121888,Carl Ludwig,Furniture,East,782.94,3,203.5644,140.93,704.65,26.0
CA-2014-150245,Pamela Coakley,Furniture,East,1573.488,7,196.686,283.23,1416.14,12.5
CA-2014-134278,Emily Phan,Technology,East,559.992,1,174.9975,100.8,503.99,31.25
US-2017-102890,Sheri Gordon,Furniture,East,1044.63,5,-295.9785,188.03,940.17,-28.33
US-2014-157385,Sanjit Chand,Furniture,West,603.92,5,-67.941,108.71,543.53,-11.25
CA-2014-101602,Mick Crebagga,Furniture,Central,763.28,5,-21.808,137.39,686.95,-2.86
CA-2015-131338,Naresj Patel,Office Supplies,East,1217.568,2,456.588,219.16,1095.81,37.5
CA-2015-131338,Naresj Patel,Technology,East,979.95,5,274.386,176.39,881.96,28.0
CA-2017-132234,Maribeth Yedwab,Furniture,East,547.3,13,175.136,98.51,492.57,32.0
CA-2017-138380,Yana Sorensen,Office Supplies,West,1000.02,7,290.0058,180.0,900.02,29.0
CA-2017-108560,Jenna Caffey,Office Supplies,West,786.48,8,385.3752,141.57,707.83,49.0
CA-2015-157084,James Galang,Technology,West,675.96,5,84.495,121.67,608.36,12.5
CA-2015-157084,James Galang,Technology,West,1265.85,3,556.974,227.85,1139.26,44.0
CA-2015-164539,Philisse Overcash,Office Supplies,East,523.25,5,141.2775,94.19,470.93,27.0
CA-2015-143119,Marc Crier,Furniture,South,517.5,6,155.25,93.15,465.75,30.0
CA-2016-106530,Clay Ludtke,Office Supplies,East,1006.056,3,88.0299,181.09,905.45,8.75
CA-2014-168984,Natalie Webber,Office Supplies,West,669.08,5,-167.27,120.43,602.17,-25.0
CA-2015-111829,Fred Hopkins,Office Supplies,West,1247.64,3,349.3392,224.58,1122.88,28.0
CA-2015-111829,Fred Hopkins,Technology,West,3149.93,7,1480.4671,566.99,2834.94,47.0
CA-2017-144526,Quincy Jones,Technology,East,677.58,5,-158.102,121.96,609.82,-23.33
US-2015-157154,Michael Moore,Furniture,East,1018.104,4,-373.3048,183.26,916.29,-36.67
CA-2014-142839,Troy Staebel,Furniture,East,853.092,6,-227.4912,153.56,767.78,-26.67
CA-2014-135657,Steven Cartwright,Furniture,West,515.88,6,113.4936,92.86,464.29,22.0
CA-2015-114069,Natalie DeCherney,Furniture,East,1931.04,9,321.84,347.59,1737.94,16.67
CA-2017-123491,Jamie Kunitz,Office Supplies,West,1702.12,14,510.636,306.38,1531.91,30.0
US-2017-124968,Michelle Moray,Furniture,Central,765.625,7,-566.5625,137.81,689.06,-74.0
US-2017-164056,Filia McAdams,Furniture,East,1048.35,5,-69.89,188.7,943.52,-6.67
CA-2017-116715,Victoria Wilson,Office Supplies,West,559.62,9,151.0974,100.73,503.66,27.0
CA-2015-135622,Tonja Turnell,Technology,Central,1718.4,6,150.36,309.31,1546.56,8.75
CA-2015-154326,Roy Phan,Technology,Central,699.98,2,195.9944,126.0,629.98,28.0
CA-2014-120474,Resi P�lking,Furniture,Central,2807.84,8,673.8816,505.41,2527.06,24.0
CA-2017-158379,Joseph Airdo,Office Supplies,East,4663.736,7,-1049.3406,839.47,4197.36,-22.5
US-2016-116729,Grace Kelly,Technology,West,2575.944,7,257.5944,463.67,2318.35,10.0
CA-2014-132612,Frank Olsen,Furniture,South,1441.3,7,245.021,259.43,1297.17,17.0
CA-2016-109344,Cathy Hwang,Technology,South,1127.976,3,126.8973,203.04,1015.18,11.25
CA-2014-103373,Bruce Stewart,Technology,East,779.796,2,-168.9558,140.36,701.82,-21.67
CA-2017-145884,Sara Luxemburg,Technology,Central,1439.92,8,374.3792,259.19,1295.93,26.0
CA-2017-162691,Aaron Smayling,Technology,Central,1439.982,3,-263.9967,259.2,1295.98,-18.33
CA-2017-122693,Nicole Hansen,Office Supplies,South,1245.86,7,361.2994,224.25,1121.27,29.0
CA-2015-160472,Ralph Kennedy,Technology,Central,831.2,5,124.68,149.62,748.08,15.0
US-2016-100839,Noah Childs,Furniture,West,727.45,5,-465.568,130.94,654.71,-64.0
CA-2014-116932,Michelle Ellison,Furniture,West,801.568,2,50.098,144.28,721.41,6.25
CA-2015-109512,Luke Foster,Office Supplies,East,563.4,4,67.608,101.41,507.06,12.0
CA-2017-141789,Amy Cox,Office Supplies,Central,1793.98,2,843.1706,322.92,1614.58,47.0
CA-2014-169775,Ryan Akin,Office Supplies,South,505.176,4,-336.784,90.93,454.66,-66.67
CA-2017-154410,Michael Dominguez,Office Supplies,Central,909.12,8,9.0912,163.64,818.21,1.0
CA-2017-121503,Frank Hawley,Technology,Central,597.132,3,49.761,107.48,537.42,8.33
US-2017-111423,Edward Hooks,Office Supplies,East,895.92,5,302.373,161.27,806.33,33.75
CA-2016-156685,Scot Coram,Technology,Central,863.64,9,107.955,155.46,777.28,12.5
US-2017-101539,Valerie Mitchum,Technology,West,659.976,3,49.4982,118.8,593.98,7.5
CA-2016-112109,Joe Elijah,Furniture,West,662.88,3,74.574,119.32,596.59,11.25
CA-2017-157987,Ann Chong,Furniture,East,1282.41,5,213.735,230.83,1154.17,16.67
CA-2014-110408,Alan Schoenberger,Technology,South,1394.95,5,362.687,251.09,1255.46,26.0
CA-2014-110408,Alan Schoenberger,Furniture,South,545.88,6,70.9644,98.26,491.29,13.0
CA-2016-112669,Kean Takahito,Furniture,West,933.536,4,105.0228,168.04,840.18,11.25
CA-2016-147417,Christy Brittain,Technology,East,1439.976,4,191.9968,259.2,1295.98,13.33
CA-2015-127509,Adam Shillingsburg,Furniture,Central,1024.38,7,215.1198,184.39,921.94,21.0
CA-2016-145905,Anne McFarland,Office Supplies,South,900.08,4,117.0104,162.01,810.07,13.0
CA-2016-168354,Rick Huthwaite,Office Supplies,East,1606.23,9,481.869,289.12,1445.61,30.0
CA-2016-168354,Rick Huthwaite,Furniture,East,872.32,4,244.2496,157.02,785.09,28.0
CA-2016-131835,Matt Collister,Technology,East,597.0,3,280.59,107.46,537.3,47.0
CA-2017-120376,Theone Pippenger,Furniture,Central,1586.69,7,412.5394,285.6,1428.02,26.0
CA-2015-133452,Zuschuss Carroll,Furniture,West,710.832,3,-97.7394,127.95,639.75,-13.75
CA-2017-122504,Deborah Brumfield,Technology,West,761.544,7,66.6351,137.08,685.39,8.75
US-2016-146570,Steve Nguyen,Office Supplies,South,511.84,8,240.5648,92.13,460.66,47.0
US-2014-140116,Kean Thornton,Office Supplies,West,636.408,3,-15.9102,114.55,572.77,-2.5
CA-2015-164882,Sandra Glassco,Technology,West,1295.84,4,145.782,233.25,1166.26,11.25
CA-2017-155460,Rob Williams,Office Supplies,West,895.92,5,302.373,161.27,806.33,33.75
CA-2014-159520,Grant Thornton,Furniture,East,991.764,3,-347.1174,178.52,892.59,-35.0
CA-2014-124646,Dianna Vittorini,Office Supplies,Central,501.81,3,0.0,90.33,451.63,0.0
CA-2016-128818,Caroline Jumper,Technology,East,3999.95,5,1159.9855,719.99,3599.96,29.0
CA-2017-143063,Ivan Liston,Technology,Central,1454.49,9,378.1674,261.81,1309.04,26.0
US-2014-165659,Liz Thompson,Technology,South,881.93,7,229.3018,158.75,793.74,26.0
CA-2014-125556,Maris LaWare,Technology,East,832.93,7,233.2204,149.93,749.64,28.0
CA-2017-130841,Matt Hagelstein,Technology,West,1145.6,4,100.24,206.21,1031.04,8.75
CA-2014-128055,Alex Avila,Office Supplies,West,673.568,2,252.588,121.24,606.21,37.5
CA-2017-157091,Denny Blanton,Furniture,Central,526.45,5,31.587,94.76,473.81,6.0
CA-2016-146633,Toby Gnade,Office Supplies,West,1016.792,1,381.297,183.02,915.11,37.5
CA-2017-103380,Barry Franz,Technology,West,659.976,3,49.4982,118.8,593.98,7.5
CA-2015-116092,Justin MacKendrick,Office Supplies,West,541.44,6,157.0176,97.46,487.3,29.0
CA-2017-105214,Troy Staebel,Furniture,West,1212.96,7,90.972,218.33,1091.66,7.5
CA-2015-142944,John Lucas,Technology,West,1119.984,2,377.9946,201.6,1007.99,33.75
CA-2017-142622,Jim Karlsson,Furniture,West,614.272,8,-23.0352,110.57,552.84,-3.75
CA-2017-115154,Ricardo Sperren,Furniture,West,892.98,2,80.3682,160.74,803.68,9.0
CA-2015-113145,Valerie Dominguez,Technology,East,1399.93,7,601.9699,251.99,1259.94,43.0
CA-2015-113145,Valerie Dominguez,Technology,East,503.96,4,125.99,90.71,453.56,25.0
CA-2017-157931,Meg O'Connel,Furniture,South,723.92,4,188.2192,130.31,651.53,26.0
US-2015-147739,Justin Deggeller,Furniture,East,547.136,4,-68.392,98.48,492.42,-12.5
CA-2016-159373,Liz Thompson,Furniture,Central,557.585,5,0.0,100.37,501.83,0.0
CA-2015-111514,Scott Cohen,Furniture,West,1552.831,7,200.9546,279.51,1397.55,12.94
US-2014-148838,Christine Phan,Furniture,East,1579.746,7,-447.5947,284.35,1421.77,-28.33
US-2014-148838,Christine Phan,Furniture,East,1071.576,4,-553.6476,192.88,964.42,-51.67
US-2014-148838,Christine Phan,Furniture,East,613.908,3,-122.7816,110.5,552.52,-20.0
US-2015-127040,Speros Goranitis,Technology,East,1619.91,9,97.1946,291.58,1457.92,6.0
CA-2017-147361,Sean Braxton,Office Supplies,South,628.81,7,12.5762,113.19,565.93,2.0
US-2016-110170,Harry Marie,Furniture,Central,956.6648,7,-225.0976,172.2,861.0,-23.53
CA-2017-108574,Mike Gockenbach,Technology,West,1115.91,9,200.8638,200.86,1004.32,18.0
CA-2014-151295,Joseph Airdo,Furniture,West,629.064,3,31.4532,113.23,566.16,5.0
CA-2016-156300,Troy Blackwell,Furniture,Central,754.45,5,60.356,135.8,679.01,8.0
CA-2017-168655,Michelle Lonsdale,Technology,West,595.0,5,95.2,107.1,535.5,16.0
CA-2016-107202,Linda Cazamias,Technology,West,2396.4,10,179.73,431.35,2156.76,7.5
CA-2015-154746,Patrick Jones,Office Supplies,South,826.11,3,322.1829,148.7,743.5,39.0
