Row ID,Order_ID,Order Date,Ship Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product Name,Sales,Quantity,Discount,Profit,Profit_Status
9413,CA-2015-164777,1/27/2015,1/29/2015,First Class,SC-20305,Sean Christensen,Consumer,United States,Los Angeles,California,90036,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,5,0.2,0.0,Loss
9637,CA-2014-124702,11/18/2014,11/25/2014,Standard Class,MH-17785,Maya Herman,Corporate,United States,Seattle,Washington,98105,West,FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2\" Diameter Rosebrook Wall Clock",137.54,2,0.0,55.016,Profit
9793,CA-2014-127166,5/21/2014,5/23/2014,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Houston,Texas,77070,Central,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,107.772,2,0.3,-29.2524,Loss
1351,CA-2014-153976,10/3/2014,10/8/2014,Second Class,BP-11290,Beth Paige,Consumer,United States,Evanston,Illinois,60201,Central,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",258.279,3,0.3,-70.1043,Loss
1927,US-2016-139710,6/9/2016,6/15/2016,Standard Class,GM-14680,Greg Matthias,Consumer,United States,Los Angeles,California,90045,West,TEC-PH-10001198,Technology,Phones,Avaya 4621SW VoIP phone,177.48,3,0.2,19.9665,Profit
2258,CA-2017-105214,6/16/2017,6/19/2017,First Class,TS-21610,Troy Staebel,Consumer,United States,San Francisco,California,94122,West,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,1212.96,7,0.2,90.972,Profit
2345,CA-2016-119025,2/22/2016,2/28/2016,Standard Class,PV-18985,Paul Van Hugh,Home Office,United States,Milwaukee,Wisconsin,53209,Central,OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,490.32,9,0.0,137.2896,Profit
4003,CA-2016-145730,3/3/2016,3/8/2016,Standard Class,CC-12220,Chris Cortes,Consumer,United States,San Antonio,Texas,78207,Central,FUR-TA-10004915,Furniture,Tables,"Office Impressions End Table, 20-1/2\"H x 24\"W x 20\"D",637.896,3,0.3,-127.5792,Loss
4400,CA-2016-131737,3/17/2016,3/17/2016,Same Day,GZ-14470,Gary Zandusky,Consumer,United States,Columbia,Maryland,21044,East,OFF-EN-10003055,Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",199.9,5,0.0,89.955,Profit
6521,CA-2017-138289,1/16/2017,1/18/2017,Second Class,AR-10540,Andy Reiter,Consumer,United States,Jackson,Michigan,49201,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96,4,0.0,2504.2216,Profit
6646,US-2015-156496,8/10/2015,8/16/2015,Standard Class,WB-21850,William Brown,Consumer,United States,Redmond,Oregon,97756,West,OFF-AP-10001469,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,133.472,4,0.2,15.0156,Profit
6736,CA-2016-123358,4/10/2016,4/17/2016,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,California,94122,West,OFF-AP-10004980,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,113.76,3,0.0,44.3664,Profit
6761,CA-2017-100636,6/26/2017,6/30/2017,Standard Class,DO-13435,Denny Ordway,Consumer,United States,New York City,New York,10035,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,272.94,3,0.0,0.0,Loss
7398,CA-2014-141649,9/30/2014,9/30/2014,Same Day,DM-12955,Dario Medina,Corporate,United States,Fairfield,Ohio,45014,East,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,795.408,6,0.2,59.6556,Profit
8279,US-2016-139262,2/21/2016,2/25/2016,Standard Class,LC-16960,Lindsay Castell,Home Office,United States,Tampa,Florida,33614,South,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,432.456,3,0.2,32.4342,Profit
8881,US-2015-107944,3/23/2015,3/25/2015,First Class,AM-10360,Alice McCarthy,Corporate,United States,Los Angeles,California,90008,West,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,0.0,86.3892,Profit
9332,CA-2016-108056,9/29/2016,10/3/2016,Standard Class,ES-14080,Erin Smith,Corporate,United States,Springfield,Oregon,97477,West,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,859.2,3,0.2,75.18,Profit
9386,CA-2017-163097,8/27/2017,8/31/2017,Standard Class,SF-20200,Sarah Foster,Consumer,United States,Mesa,Arizona,85204,West,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,120.576,8,0.2,33.1584,Profit
9588,US-2017-129203,4/17/2017,4/22/2017,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Chicago,Illinois,60653,Central,OFF-ST-10001418,Office Supplies,Storage,Carina Media Storage Towers in Natural & Black,195.136,4,0.2,-43.9056,Loss
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,Loss
245,CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0.0,580.5394,Profit
748,CA-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785,Maya Herman,Corporate,United States,San Diego,California,92105,West,OFF-ST-10001809,Office Supplies,Storage,Fellowes Officeware Wire Shelving,359.32,4,0.0,7.1864,Profit
1032,CA-2014-163552,7/11/2014,7/15/2014,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Hackensack,New Jersey,7601,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,124.11,9,0.0,52.1262,Profit
1179,CA-2016-113621,12/1/2016,12/5/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Rockville,Maryland,20852,East,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,179.97,3,0.0,44.9925,Profit
2819,CA-2015-104626,9/1/2015,9/8/2015,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Franklin,Massachusetts,2038,East,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,1088.76,6,0.0,315.7404,Profit
3131,CA-2014-136399,12/16/2014,12/17/2014,First Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,90049,West,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,395.0,5,0.0,39.5,Profit
3469,CA-2016-146143,12/14/2016,12/19/2016,Standard Class,MC-17845,Michael Chen,Consumer,United States,Jackson,Mississippi,39212,South,FUR-FU-10002045,Furniture,Furnishings,"Executive Impressions 14\"",133.38,6,0.0,58.6872,Profit
3663,US-2017-129777,7/3/2017,7/9/2017,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Quincy,Massachusetts,2169,East,TEC-AC-10003590,Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",258.9,10,0.0,93.204,Profit
3799,CA-2017-147760,11/4/2017,11/5/2017,First Class,KL-16555,Kelly Lampkin,Corporate,United States,Greensboro,North Carolina,27405,South,FUR-TA-10004575,Furniture,Tables,Hon 5100 Series Wood Tables,523.764,3,0.4,-192.0468,Loss
4929,CA-2017-143245,12/1/2017,12/6/2017,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Fairfield,Connecticut,6824,East,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,897.15,3,0.0,251.202,Profit
5731,CA-2017-117324,12/8/2017,12/13/2017,Standard Class,JP-15520,Jeremy Pistek,Consumer,United States,Madison,Wisconsin,53711,Central,FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",459.92,4,0.0,41.3928,Profit
5747,CA-2016-113733,12/8/2016,12/12/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Greenville,North Carolina,27834,South,TEC-PH-10002496,Technology,Phones,Cisco SPA301,249.584,2,0.2,31.198,Profit
5871,CA-2016-128223,6/14/2016,6/14/2016,Same Day,EB-13705,Ed Braxton,Corporate,United States,Anaheim,California,92804,West,FUR-TA-10001771,Furniture,Tables,"Bush Cubix Conference Tables, Fully Assembled",1293.488,7,0.2,80.843,Profit
5924,CA-2016-130288,11/26/2016,11/30/2016,Second Class,DK-13225,Dean Katz,Corporate,United States,New York City,New York,10011,East,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",313.176,2,0.4,-120.0508,Loss
6141,CA-2017-121083,7/9/2017,7/15/2017,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Manchester,Connecticut,6040,East,OFF-PA-10001497,Office Supplies,Paper,Xerox 1914,274.8,5,0.0,134.652,Profit
6211,CA-2017-119809,8/18/2017,8/25/2017,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Seattle,Washington,98103,West,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,1000.02,7,0.0,290.0058,Profit
6232,US-2017-142188,9/11/2017,9/11/2017,Same Day,JF-15415,Jennifer Ferguson,Consumer,United States,Seattle,Washington,98105,West,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,177.568,2,0.2,8.8784,Profit
6567,CA-2017-131282,2/5/2017,2/8/2017,Second Class,CB-12025,Cassandra Brandow,Consumer,United States,Waco,Texas,76706,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,243.992,4,0.8,-426.986,Loss
6814,CA-2017-156237,9/14/2017,9/15/2017,First Class,PS-18760,Pamela Stobb,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10001057,Furniture,Furnishings,Tensor Track Tree Floor Lamp,127.936,8,0.2,4.7976,Profit
7590,CA-2015-139738,9/25/2015,9/29/2015,Standard Class,DK-12895,Dana Kaydos,Consumer,United States,Rockford,Illinois,61107,Central,OFF-AR-10004602,Office Supplies,Art,Boston KS Multi-Size Manual Pencil Sharpener,128.744,7,0.2,12.8744,Profit
7637,US-2017-158526,12/29/2017,1/1/2018,Second Class,KH-16360,Katherine Hughes,Consumer,United States,Louisville,Kentucky,40214,South,FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,258.75,3,0.0,77.625,Profit
8365,CA-2017-137631,4/28/2017,5/2/2017,Standard Class,JL-15235,Janet Lee,Consumer,United States,Kissimmee,Florida,34741,South,TEC-PH-10002624,Technology,Phones,Samsung Galaxy S4 Mini,751.984,2,0.2,84.5982,Profit
8556,CA-2015-117884,3/22/2015,3/22/2015,Same Day,DC-13285,Debra Catini,Consumer,United States,Plantation,Florida,33317,South,TEC-AC-10002567,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,447.944,7,0.2,89.5888,Profit
8950,CA-2017-150910,12/22/2017,12/28/2017,Standard Class,JL-15130,Jack Lebron,Consumer,United States,Jackson,Tennessee,38301,South,FUR-TA-10002903,Furniture,Tables,"Bevis Round Bullnose 29\" High Table Top",934.956,6,0.4,-249.3216,Loss
9840,US-2016-125402,9/25/2016,10/1/2016,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Long Beach,California,90805,West,TEC-CO-10001943,Technology,Copiers,Canon PC-428 Personal Copier,479.976,3,0.2,161.9919,Profit
9843,US-2016-125402,9/25/2016,10/1/2016,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Long Beach,California,90805,West,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",483.136,4,0.2,60.392,Profit
9877,US-2017-166324,4/20/2017,4/21/2017,First Class,BE-11455,Brad Eason,Home Office,United States,Cleveland,Ohio,44105,East,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,848.544,4,0.2,-21.2136,Loss
214,CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323,Loss
409,CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110,West,FUR-TA-10002041,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",1004.024,7,0.2,-112.9527,Loss
1203,CA-2016-114727,7/18/2016,7/24/2016,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,854.352,3,0.2,10.6794,Profit
1296,CA-2015-138898,5/25/2015,5/29/2015,Standard Class,JH-16180,Justin Hirsh,Consumer,United States,Pueblo,Colorado,81001,West,OFF-AP-10004487,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,845.728,13,0.2,84.5728,Profit
1967,CA-2017-165841,12/21/2017,12/28/2017,Standard Class,DB-13210,Dean Braden,Consumer,United States,Paterson,New Jersey,7501,East,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,281.97,3,0.0,78.9516,Profit
2333,CA-2017-169285,3/21/2017,3/25/2017,Standard Class,RW-19690,Robert Waldorf,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",277.4,5,0.0,133.152,Profit
3752,CA-2017-161956,8/27/2017,8/29/2017,Second Class,DR-12880,Dan Reichenbach,Corporate,United States,Inglewood,California,90301,West,FUR-CH-10004886,Furniture,Chairs,Bevis Steel Folding Chairs,230.28,3,0.2,23.028,Profit
4116,CA-2016-163573,11/24/2016,11/27/2016,First Class,AC-10450,Amy Cox,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,1219.96,5,0.2,381.2375,Profit
5040,CA-2015-136469,7/11/2015,7/12/2015,First Class,TS-21370,Todd Sumrall,Corporate,United States,Wilmington,Delaware,19805,East,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,716.0,2,0.0,193.32,Profit
6254,CA-2014-165806,4/7/2014,4/7/2014,Same Day,VM-21685,Valerie Mitchum,Home Office,United States,Marietta,Georgia,30062,South,TEC-PH-10004922,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,200.97,3,0.0,50.2425,Profit
7107,CA-2017-128944,6/19/2017,6/21/2017,Second Class,KH-16330,Katharine Harms,Corporate,United States,Newark,Ohio,43055,East,TEC-AC-10001553,Technology,Accessories,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",122.328,9,0.2,1.5291,Profit
7576,CA-2015-129532,12/8/2015,12/12/2015,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Los Angeles,California,90036,West,TEC-AC-10000865,Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,236.0,4,0.0,40.12,Profit
8137,CA-2016-118073,8/12/2016,8/16/2016,Standard Class,CS-12490,Cindy Schnelling,Corporate,United States,Lakeland,Florida,33801,South,FUR-TA-10002533,Furniture,Tables,BPI Conference Tables,562.2925,7,0.45,-255.5875,Loss
8162,CA-2015-120915,9/28/2015,10/3/2015,Second Class,JJ-15445,Jennifer Jackson,Consumer,United States,New York City,New York,10035,East,OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",293.52,6,0.0,76.3152,Profit
9760,CA-2016-146913,10/31/2016,11/5/2016,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,San Francisco,California,94109,West,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1403.92,5,0.2,70.196,Profit
9774,CA-2016-160234,6/26/2016,7/3/2016,Standard Class,PF-19225,Phillip Flathmann,Consumer,United States,Atlanta,Georgia,30318,South,TEC-PH-10004434,Technology,Phones,Cisco IP�Phone�7961G VoIP�phone�- Dark gray,135.95,1,0.0,39.4255,Profit
9937,CA-2017-132955,6/24/2017,6/28/2017,Standard Class,SC-20575,Sonia Cooley,Consumer,United States,Cranston,Rhode Island,2920,East,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,102.93,3,0.0,48.3771,Profit
117,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,Profit
472,CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110,West,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,340.92,3,0.0,3.4092,Profit
3520,CA-2015-124975,6/22/2015,6/25/2015,First Class,MG-17875,Michael Grace,Home Office,United States,Aurora,Illinois,60505,Central,FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,796.425,7,0.5,-525.6405,Loss
3623,CA-2014-159184,9/14/2014,9/19/2014,Standard Class,JC-15775,John Castell,Consumer,United States,Macon,Georgia,31204,South,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14\" Day/Date Wall Clock",142.4,5,0.0,52.688,Profit
5130,CA-2014-160766,9/14/2014,9/14/2014,Same Day,DM-13015,Darrin Martin,Consumer,United States,New York City,New York,10009,East,TEC-PH-10000526,Technology,Phones,Vtech CS6719,287.97,3,0.0,80.6316,Profit
6374,CA-2017-143035,10/3/2017,10/5/2017,Second Class,CC-12430,Chuck Clark,Home Office,United States,New York City,New York,10009,East,TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,371.97,3,0.0,66.9546,Profit
7191,CA-2016-164399,11/12/2016,11/15/2016,First Class,DW-13480,Dianna Wilson,Home Office,United States,San Diego,California,92024,West,FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,674.352,3,0.2,-8.4294,Loss
7502,CA-2017-121048,7/14/2017,7/18/2017,Standard Class,TC-21295,Toby Carlisle,Consumer,United States,Westminster,California,92683,West,TEC-PH-10004977,Technology,Phones,GE 30524EE4,470.376,3,0.2,52.9173,Profit
7545,US-2017-112347,12/2/2017,12/6/2017,Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,906.68,5,0.2,68.001,Profit
8124,CA-2014-138128,12/9/2014,12/15/2014,Standard Class,FP-14320,Frank Preis,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,1079.976,4,0.4,125.9972,Profit
8415,CA-2016-147109,12/17/2016,12/21/2016,Standard Class,AH-10075,Adam Hart,Corporate,United States,Arlington,Texas,76017,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,0.2,-6.21,Loss
8421,CA-2017-118199,5/9/2017,5/11/2017,First Class,LB-16795,Laurel Beltran,Home Office,United States,Seattle,Washington,98105,West,TEC-AC-10004171,Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,199.98,2,0.0,87.9912,Profit
8494,CA-2015-109190,10/23/2015,10/28/2015,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Lubbock,Texas,79424,Central,TEC-CO-10001943,Technology,Copiers,Canon PC-428 Personal Copier,479.976,3,0.2,161.9919,Profit
8833,CA-2015-153423,6/22/2015,6/27/2015,Standard Class,SW-20455,Shaun Weien,Consumer,United States,Rochester,New York,14609,East,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1217.568,2,0.2,456.588,Profit
9408,CA-2017-162789,9/22/2017,9/24/2017,Second Class,LC-17140,Logan Currie,Consumer,United States,New York City,New York,10035,East,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,1071.0,9,0.0,171.36,Profit
9733,CA-2014-114321,8/20/2014,8/25/2014,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Hampton,Virginia,23666,South,FUR-CH-10001797,Furniture,Chairs,"Safco Chair Connectors, 6/Carton",500.24,13,0.0,145.0696,Profit
454,CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705,Ed Braxton,Corporate,United States,Akron,Ohio,44312,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304,Loss
2166,CA-2016-154018,10/13/2016,10/19/2016,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Laredo,Texas,78041,Central,FUR-FU-10003394,Furniture,Furnishings,"Tenex \"The Solids\" Textured Chair Mats",139.92,5,0.6,-150.414,Loss
2665,CA-2016-164784,5/1/2016,5/4/2016,First Class,HF-14995,Herbert Flentye,Consumer,United States,Memphis,Tennessee,38109,South,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,370.62,3,0.4,-142.071,Loss
3054,CA-2016-128517,4/9/2016,4/14/2016,Second Class,SW-20350,Sean Wendt,Home Office,United States,Detroit,Michigan,48227,Central,TEC-PH-10002555,Technology,Phones,Nortel Meridian M5316 Digital phone,517.9,2,0.0,134.654,Profit
3090,US-2017-159205,3/31/2017,4/2/2017,Second Class,DB-12910,Daniel Byrd,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10000526,Technology,Phones,Vtech CS6719,671.93,7,0.0,188.1404,Profit
4165,US-2017-106131,1/14/2017,1/16/2017,First Class,TP-21565,Tracy Poddar,Corporate,United States,Aurora,Colorado,80013,West,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,169.064,7,0.2,-14.7931,Loss
4510,CA-2017-167003,5/23/2017,5/29/2017,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Los Angeles,California,90036,West,FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",171.288,3,0.2,-6.4233,Loss
